Episode 147, Agent: 0, Score: 0, Epsilon: 0.8020
Episode 148, Agent: 0, Score: 0, Epsilon: 0.8008
Episode 149, Agent: 0, Score: 0, Epsilon: 0.7996
Episode 150, Agent: 0, Score: 0, Epsilon: 0.7984
Episode 151, Agent: 0, Score: 0, Epsilon: 0.7972
Episode 152, Agent: 0, Score: 0, Epsilon: 0.7960
Episode 153, Agent: 0, Score: 0, Epsilon: 0.7948
Episode 154, Agent: 0, Score: 0, Epsilon: 0.7936
Episode 155, Agent: 0, Score: 0, Epsilon: 0.7924
Episode 156, Agent: 0, Score: 0, Epsilon: 0.7912
Episode 157, Agent: 0, Score: 0, Epsilon: 0.7900
Episode 158, Agent: 0, Score: 0, Epsilon: 0.7889
Episode 159, Agent: 0, Score: 0, Epsilon: 0.7877
Episode 160, Agent: 0, Score: 0, Epsilon: 0.7865
Episode 161, Agent: 0, Score: 0, Epsilon: 0.7853
Episode 162, Agent: 0, Score: 0, Epsilon: 0.7841
Episode 163, Agent: 0, Score: 0, Epsilon: 0.7830
Episode 164, Agent: 0, Score: 0, Epsilon: 0.7818
Episode 165, Agent: 0, Score: 0, Epsilon: 0.7806
Episode 166, Agent: 0, Score: 0, Epsilon: 0.7794
Episode 167, Agent: 0, Score: 0, Epsilon: 0.7783
Episode 168, Agent: 0, Score: 0, Epsilon: 0.7771
Episode 169, Agent: 0, Score: 0, Epsilon: 0.7759
Episode 170, Agent: 0, Score: 0, Epsilon: 0.7748
Episode 171, Agent: 0, Score: 0, Epsilon: 0.7736
Episode 172, Agent: 0, Score: 0, Epsilon: 0.7724
Episode 173, Agent: 0, Score: 0, Epsilon: 0.7713
Episode 174, Agent: 0, Score: 0, Epsilon: 0.7701
Episode 175, Agent: 0, Score: 0, Epsilon: 0.7690
Episode 176, Agent: 0, Score: 1, Epsilon: 0.7678
Episode 177, Agent: 0, Score: 0, Epsilon: 0.7667
Episode 178, Agent: 0, Score: 0, Epsilon: 0.7655
